id, age, workclass, fnlwgt, education, education-num, marital-status, occupation, relationship, race, sex, capital-gain, capital-loss, hours-per-week, native-country,target
21983,18, Private,141363, Some-college,10, Never-married, Other-service, Not-in-family, White, Female,0,0,40, United-States,0
10063,38, Private,179579, Some-college,10, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,50, ?,1
16273,63, Private,172740, Some-college,10, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States,0
2208,35, Private,47707, HS-grad,9, Never-married, Other-service, Not-in-family, Black, Female,0,0,40, United-States,1
15914,32, Private,48458, HS-grad,9, Never-married, Sales, Own-child, Black, Female,0,1669,45, United-States,0
2847,48, Private,75104, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,50, United-States,1
13636,38, Private,186191, Bachelors,13, Never-married, Prof-specialty, Own-child, White, Male,0,0,40, United-States,0
12532,43, Private,210844, Bachelors,13, Divorced, Exec-managerial, Not-in-family, Black, Female,0,0,40, United-States,1
19143,45, Private,131826, Some-college,10, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, United-States,0
16484,31, Private,152156, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,45, United-States,1
14121,40, Private,105794, Prof-school,15, Never-married, Prof-specialty, Not-in-family, White, Female,14084,0,50, United-States,0
19089,43, Private,130126, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,15024,0,50, United-States,0
15760,42, Private,322385, Assoc-voc,11, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,2407,0,40, United-States,0
20647,19, ?,117201, Some-college,10, Never-married, ?, Own-child, White, Male,0,0,22, United-States,1
8670,50, Private,24013, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,84, United-States,1
16162,31, Private,211880, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States,0
15934,65, Private,185001, 10th,6, Widowed, Sales, Not-in-family, White, Female,0,0,20, United-States,1
18187,51, Private,95128, HS-grad,9, Divorced, Craft-repair, Not-in-family, White, Male,0,0,40, United-States,0
3538,81, Self-emp-not-inc,137018, HS-grad,9, Widowed, Adm-clerical, Not-in-family, White, Female,0,0,20, United-States,1
21038,54, Private,185407, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, United-States,0
7419,47, Self-emp-inc,332355, Masters,14, Married-civ-spouse, Exec-managerial, Husband, White, Male,15024,0,50, United-States,0
7624,41, Private,155106, HS-grad,9, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, United-States,0
7511,62, ?,225657, HS-grad,9, Married-civ-spouse, ?, Husband, White, Male,0,0,24, United-States,0
18879,42, Private,155972, HS-grad,9, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, United-States,0
6590,25, Private,175370, Some-college,10, Divorced, Machine-op-inspct, Own-child, White, Female,0,0,40, United-States,0
14965,23, Private,413345, Bachelors,13, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,60, United-States,0
12094,24, ?,151153, Some-college,10, Never-married, ?, Not-in-family, Asian-Pac-Islander, Male,99999,0,50, South,1
10828,35, Private,149347, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,45, United-States,0
12390,39, Private,203180, Some-college,10, Divorced, Farming-fishing, Unmarried, White, Female,0,0,45, United-States,0
12423,17, Private,413557, 11th,7, Never-married, Adm-clerical, Own-child, White, Female,0,0,32, United-States,0
14639,41, Private,220460, Assoc-acdm,12, Married-civ-spouse, Sales, Husband, White, Male,0,0,20, United-States,0
2721,40, Local-gov,50442, Some-college,10, Never-married, Adm-clerical, Unmarried, Amer-Indian-Eskimo, Female,2977,0,35, United-States,1
14772,25, Private,190916, HS-grad,9, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,40, United-States,0
11082,43, Private,75742, Some-college,10, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,45, United-States,1
